load pre-trained model "./pretrained_models/EVSNN.pth"
Will use fixed duration event windows of size 44.00 ms
Output frame rate: 22.7 Hz
Reading event window from file: 0.0050s
Processing: 2845.Reading event window from file: 0.2360s
Processing: 2850.Reading event window from file: 0.1487s
Processing: 2855.Reading event window from file: 0.0872s
Processing: 2860.Reading event window from file: 0.1092s
Processing: 2865.Reading event window from file: 0.1046s
Processing: 2870.Reading event window from file: 0.0819s
Processing: 2875.Reading event window from file: 0.1002s
Processing: 2880.Reading event window from file: 0.1168s
Processing: 2885.Reading event window from file: 0.1762s
Processing: 2890.Reading event window from file: 0.2256s
Processing: 2895.Reading event window from file: 0.2822s
Processing: 2900.Reading event window from file: 0.3127s
Processing: 2905.Reading event window from file: 0.2321s
Processing: 2910.Reading event window from file: 0.1713s
Processing: 2915.Reading event window from file: 0.1962s
Processing: 2920.Reading event window from file: 0.3132s
Processing: 2925.Reading event window from file: 0.3900s
Processing: 2930.Reading event window from file: 0.2888s
Processing: 2935.Reading event window from file: 0.2106s
Processing: 2940.Reading event window from file: 0.2836s
Processing: 2945.Reading event window from file: 0.2792s
Processing: 2950.Reading event window from file: 0.3154s
Processing: 2955.Reading event window from file: 0.4290s
Processing: 2960.Reading event window from file: 0.3909s
Processing: 2965.Reading event window from file: 0.2767s
Processing: 2970.Reading event window from file: 0.3133s
Processing: 2975.Reading event window from file: 0.2031s
Processing: 2980.Reading event window from file: 0.0564s
